"","Site_code","Month","Year","ppt_pA","tmin_pA","tmax_pA","tavg_pA","vpdmin_pA","vpdmax_pA","Month","ppt_pM","tmin_pM","tmax_pM","tavg_pM","vpdmin_pM","vpdmax_pM","ppt_cA","tmin_cA","tmax_cA","tavg_cA","cmd_cA","ppt_cM","tmin_cM","tmax_cM","tavg_cM","cmd_cM"
"1144","DC 4",4,2022,903.5995483,8.8793993,22.0035,15.4413996,5.0257998,22.5676003,4,174.0065002,5.4762998,17.6236992,11.5499001,2.0136001,14.3996,1120,6.2,26.1,15.7,837,193,5.3,18.7,12,0
"1145","DC 4",5,2022,903.5995483,8.8793993,22.0035,15.4413996,5.0257998,22.5676003,5,5.5500998,8.6455002,22.2719994,15.4586992,4.1584005,21.3641987,1120,6.2,26.1,15.7,837,28,8.2,23.5,15.9,114
"1146","DC 4",6,2022,903.5995483,8.8793993,22.0035,15.4413996,5.0257998,22.5676003,6,23.0926991,13.8556995,28.0999985,20.9778004,6.8604007,30.7903996,1120,6.2,26.1,15.7,837,35,13.7,29.1,21.4,134
"1147","DC 4",7,2022,903.5995483,8.8793993,22.0035,15.4413996,5.0257998,22.5676003,7,0,15.8969994,32.6310005,24.2638988,9.6400986,40.8526993,1120,6.2,26.1,15.7,837,1,17.1,33.4,25.3,191
"1148","DC 4",8,2022,903.5995483,8.8793993,22.0035,15.4413996,5.0257998,22.5676003,8,0.6553,17.9582996,33.3317986,25.6449986,10.105401,41.8251991,1120,6.2,26.1,15.7,837,4,17.7,34.6,26.1,175
"1149","DC 4",9,2022,903.5995483,8.8793993,22.0035,15.4413996,5.0257998,22.5676003,9,40.1613007,15.7265997,30.2087002,22.9675999,8.3959999,36.4925003,1120,6.2,26.1,15.7,837,60,15.7,31,23.3,67
"1150","DC 4",10,2022,903.5995483,8.8793993,22.0035,15.4413996,5.0257998,22.5676003,10,0,13.1801996,26.4130993,19.7966003,8.3712997,27.8561001,1120,6.2,26.1,15.7,837,1,10.8,26.9,18.9,90
"1151","DC 4",11,2022,903.5995483,8.8793993,22.0035,15.4413996,5.0257998,22.5676003,11,121.7427979,3.2869999,14.0794992,8.6831999,3.0279999,11.0820999,1120,6.2,26.1,15.7,837,188,1.9,14.7,8.3,0
"1152","DC 4",12,2022,903.5995483,8.8793993,22.0035,15.4413996,5.0257998,22.5676003,12,468.1439819,2.7574,10.6110001,6.6841998,0.9296,5.6844001,1120,6.2,26.1,15.7,837,497,1.2,11.1,6.2,0
"1153","DC 6",1,2003,986.2040405,8.9280005,22.5830002,15.7550011,3.2940001,20.8340015,1,98.6999969,8.9280005,22.5830002,15.7550011,3.2940001,20.8340015,922,8.2,28,16.6,882,94,6.2,16.4,11.3,0
"1154","DC 6",2,2003,986.2040405,8.9280005,22.5830002,15.7550011,3.2940001,20.8340015,2,65.8639984,2.803,14.96,8.8810005,1.045,9.3669996,922,8.2,28,16.6,882,66,3.5,15.6,9.6,0
"1155","DC 6",3,2003,986.2040405,8.9280005,22.5830002,15.7550011,3.2940001,20.8340015,3,128.5829926,4.5580001,17.2819996,10.9190006,1.122,11.2609997,922,8.2,28,16.6,882,112,5.9,18.9,12.4,0
"1156","DC 6",4,2003,986.2040405,8.9280005,22.5830002,15.7550011,3.2940001,20.8340015,4,182.9219971,4.5310001,14.6099997,9.5700006,0.814,8.2440004,922,8.2,28,16.6,882,173,4.9,15.4,10.2,0
"1157","DC 6",5,2003,986.2040405,8.9280005,22.5830002,15.7550011,3.2940001,20.8340015,5,56.3919983,8.6940002,23.1790009,15.9360008,2.1010001,18.5310001,922,8.2,28,16.6,882,49,10.2,24.9,17.5,97
"1158","DC 6",6,2003,986.2040405,8.9280005,22.5830002,15.7550011,3.2940001,20.8340015,6,0,13.592,30.3010006,21.9460011,4.0019999,30.5499992,922,8.2,28,16.6,882,1,14.5,31.8,23.2,186
"1159","DC 6",7,2003,986.2040405,8.9280005,22.5830002,15.7550011,3.2940001,20.8340015,7,0,18.0160007,35.4000015,26.7080021,9.309,45.8330002,922,8.2,28,16.6,882,1,18.8,37.1,28,216
"1160","DC 6",8,2003,986.2040405,8.9280005,22.5830002,15.7550011,3.2940001,20.8340015,8,42.4119987,15.3140001,31.5370007,23.4250011,5.0009999,34.4319992,922,8.2,28,16.6,882,15,16.1,32.8,24.4,156
"1161","DC 6",9,2003,986.2040405,8.9280005,22.5830002,15.7550011,3.2940001,20.8340015,9,0.26,14.8009996,31.9319992,23.3660011,7.2129998,37.3670006,922,8.2,28,16.6,882,2,15.9,33.3,24.6,137
"1162","DC 6",10,2003,986.2040405,8.9280005,22.5830002,15.7550011,3.2940001,20.8340015,10,4.8189998,11.9809999,28.2110004,20.0950012,6.8920002,30.3659992,922,8.2,28,16.6,882,8,11.9,29.2,20.5,90
"1163","DC 6",11,2003,986.2040405,8.9280005,22.5830002,15.7550011,3.2940001,20.8340015,11,107.8249969,3.6719999,14.7010002,9.1860008,0.943,8.8240004,922,8.2,28,16.6,882,100,4,15.3,9.6,0
"1164","DC 6",12,2003,986.2040405,8.9280005,22.5830002,15.7550011,3.2940001,20.8340015,12,298.428009,3.8789999,12.7480001,8.3130007,0.53,6.5929999,922,8.2,28,16.6,882,301,4.1,12.4,8.2,0
"1165","DC 6",1,2004,839.7460327,8.8390007,22.769001,15.8030005,3.6320002,21.8030014,1,109.8909988,8.8390007,22.769001,15.8030005,3.6320002,21.8030014,856,7.6,26.2,16.6,990,107,2.7,12.6,7.6,0
"1166","DC 6",2,2004,839.7460327,8.8390007,22.769001,15.8030005,3.6320002,21.8030014,2,211.996994,3.483,13.2489996,8.3650007,0.886,NA,856,7.6,26.2,16.6,990,242,3.8,13.6,8.7,0
"1167","DC 6",3,2004,839.7460327,8.8390007,22.769001,15.8030005,3.6320002,21.8030014,3,41.4580002,7.6290002,21.8999996,14.7640009,2.723,NA,856,7.6,26.2,16.6,990,36,8.4,22.8,15.6,59
"1168","DC 6",4,2004,839.7460327,8.8390007,22.769001,15.8030005,3.6320002,21.8030014,4,16.4500008,7.6929998,21.8509998,14.7710009,2.974,NA,856,7.6,26.2,16.6,990,17,8.7,22.8,15.8,98
"1169","DC 6",5,2004,839.7460327,8.8390007,22.769001,15.8030005,3.6320002,21.8030014,5,11.4689999,9.1490002,24.6060009,16.8770008,2.6570001,NA,856,7.6,26.2,16.6,990,12,10.4,26,18.2,142
"1170","DC 6",6,2004,839.7460327,8.8390007,22.769001,15.8030005,3.6320002,21.8030014,6,0,13.4610004,30.0979996,21.7790012,4.888,NA,856,7.6,26.2,16.6,990,1,14.2,31.4,22.8,183
"1171","DC 6",7,2004,839.7460327,8.8390007,22.769001,15.8030005,3.6320002,21.8030014,7,0,16.5629997,33.2000008,24.8810005,7.3899999,NA,856,7.6,26.2,16.6,990,1,17.2,35.1,26.2,205
"1172","DC 6",8,2004,839.7460327,8.8390007,22.769001,15.8030005,3.6320002,21.8030014,8,0,15.6090002,32.9280014,24.2680016,7.7529998,NA,856,7.6,26.2,16.6,990,1,16.6,34.2,25.4,179
"1173","DC 6",9,2004,839.7460327,8.8390007,22.769001,15.8030005,3.6320002,21.8030014,9,6.4780002,13.2679996,30.3040009,21.7850018,7.8319998,NA,856,7.6,26.2,16.6,990,8,14.1,31.2,22.7,124
"1174","DC 6",10,2004,839.7460327,8.8390007,22.769001,15.8030005,3.6320002,21.8030014,10,141.7749939,9.5690002,22.2989998,15.934001,3.6259999,NA,856,7.6,26.2,16.6,990,139,9.4,23,16.2,0
"1175","DC 6",11,2004,839.7460327,8.8390007,22.769001,15.8030005,3.6320002,21.8030014,11,91.1279984,4.0840001,16.2360001,10.1600008,0.968,NA,856,7.6,26.2,16.6,990,80,5,17.1,11,0
"1176","DC 6",12,2004,839.7460327,8.8390007,22.769001,15.8030005,3.6320002,21.8030014,12,209.1009979,3.0350001,14.3219995,8.6780005,1.335,NA,856,7.6,26.2,16.6,990,212,4.2,14.4,9.3,0
"1177","DC 6",1,2005,1358.5450439,8.9850006,22.0750008,15.5300007,2.9190001,19.5690002,1,179.3730011,8.9850006,22.0750008,15.5300007,2.9190001,19.5690002,1127,8.4,28,16.4,776,170,3.8,13,8.4,0
"1178","DC 6",2,2005,1358.5450439,8.9850006,22.0750008,15.5300007,2.9190001,19.5690002,2,97.1660004,5.3140001,15.5649996,10.4390001,1.133,8.8170004,1127,8.4,28,16.4,776,101,5.9,16.3,11.1,0
"1179","DC 6",3,2005,1358.5450439,8.9850006,22.0750008,15.5300007,2.9190001,19.5690002,3,199.6499939,5.7989998,17.7490005,11.7730007,1.73,12.6789999,1127,8.4,28,16.4,776,176,6.6,18.6,12.6,0
"1180","DC 6",4,2005,1358.5450439,8.9850006,22.0750008,15.5300007,2.9190001,19.5690002,4,58.0870018,5.395,18.3460007,11.8700008,1.273,12.6719999,1127,8.4,28,16.4,776,60,6.2,19.5,12.9,43
"1181","DC 6",5,2005,1358.5450439,8.9850006,22.0750008,15.5300007,2.9190001,19.5690002,5,150.5209961,9.7489996,22.0049992,15.8760004,1.614,15.5839996,1127,8.4,28,16.4,776,93,10.6,23.4,17,41
"1182","DC 6",6,2005,1358.5450439,8.9850006,22.0750008,15.5300007,2.9190001,19.5690002,6,37.0820007,10.7930002,25.4300003,18.1110001,1.972,22.0249996,1127,8.4,28,16.4,776,39,11.8,27,19.4,120
"1183","DC 6",7,2005,1358.5450439,8.9850006,22.0750008,15.5300007,2.9190001,19.5690002,7,0,18.0879993,34.9430008,26.5150013,6.5819998,41.4210014,1127,8.4,28,16.4,776,1,19.1,37,28,214
"1184","DC 6",8,2005,1358.5450439,8.9850006,22.0750008,15.5300007,2.9190001,19.5690002,8,0,16.8719997,34.3250008,25.5980015,8.948,43.8919983,1127,8.4,28,16.4,776,1,17.5,35.6,26.6,186
"1185","DC 6",9,2005,1358.5450439,8.9850006,22.0750008,15.5300007,2.9190001,19.5690002,9,8.7729998,11.8660002,28.4570007,20.1610012,5.0830002,30.5009995,1127,8.4,28,16.4,776,9,12.8,29.4,21.1,116
"1186","DC 6",10,2005,1358.5450439,8.9850006,22.0750008,15.5300007,2.9190001,19.5690002,10,29.927,10.0439997,23.5720005,16.8070011,3.5369999,20.4230003,1127,8.4,28,16.4,776,28,9.8,24.8,17.3,56
"1187","DC 6",11,2005,1358.5450439,8.9850006,22.0750008,15.5300007,2.9190001,19.5690002,11,92.5660019,6.717,18.9969997,12.8570004,2.0190001,14.1639996,1127,8.4,28,16.4,776,102,6.7,19.6,13.2,0
"1188","DC 6",12,2005,1358.5450439,8.9850006,22.0750008,15.5300007,2.9190001,19.5690002,12,505.401001,4.2199998,13.3990002,8.809,0.392,6.1599998,1127,8.4,28,16.4,776,348,5,14,9.5,0
"1189","DC 6",1,2006,1194.2940674,8.7020006,22.1270008,15.4140005,3.4160001,20.9960003,1,209.9389954,8.7020006,22.1270008,15.4140005,3.4160001,20.9960003,1033,7.6,28.1,16.3,913,152,4,13.2,8.6,0
"1190","DC 6",2,2006,1194.2940674,8.7020006,22.1270008,15.4140005,3.4160001,20.9960003,2,129.4519958,3.0599999,16.2530003,9.6560001,1.261,12.1230001,1033,7.6,28.1,16.3,913,131,4.2,17.2,10.7,0
"1191","DC 6",3,2006,1194.2940674,8.7020006,22.1270008,15.4140005,3.4160001,20.9960003,3,307.0289917,2.385,11.4519997,6.9170003,0.474,6.5009999,1033,7.6,28.1,16.3,913,271,3.1,12.1,7.6,0
"1192","DC 6",4,2006,1194.2940674,8.7020006,22.1270008,15.4140005,3.4160001,20.9960003,4,239.1829987,6.8660002,16.5939999,11.7300005,0.923,9.5690002,1033,7.6,28.1,16.3,913,199,7.5,17.9,12.7,0
"1193","DC 6",5,2006,1194.2940674,8.7020006,22.1270008,15.4140005,3.4160001,20.9960003,5,31.7859993,10.5500002,25.4619999,18.0060005,2.533,22.6539993,1033,7.6,28.1,16.3,913,26,11.7,26.7,19.2,128
"1194","DC 6",6,2006,1194.2940674,8.7020006,22.1270008,15.4140005,3.4160001,20.9960003,6,0.001,14.5869999,31.0049992,22.795002,4.8959999,33.7120018,1033,7.6,28.1,16.3,913,2,15.6,32.3,24,186
"1195","DC 6",7,2006,1194.2940674,8.7020006,22.1270008,15.4140005,3.4160001,20.9960003,7,0,18.3519993,35.3860016,26.8680019,9.8769999,46.7420006,1033,7.6,28.1,16.3,913,1,19.2,37,28.1,213
"1196","DC 6",8,2006,1194.2940674,8.7020006,22.1270008,15.4140005,3.4160001,20.9960003,8,0,14.7119999,32.2060013,23.4580002,7.276,38.4749985,1033,7.6,28.1,16.3,913,1,16.1,33.9,25,179
"1197","DC 6",9,2006,1194.2940674,8.7020006,22.1270008,15.4140005,3.4160001,20.9960003,9,0,13.3839998,30.6119995,21.9970016,7.7800002,36.1020012,1033,7.6,28.1,16.3,913,1,14.2,31.3,22.7,130
"1198","DC 6",10,2006,1194.2940674,8.7020006,22.1270008,15.4140005,3.4160001,20.9960003,10,6.4359999,8.2370005,23.4099998,15.8230009,3.766,21.4050007,1033,7.6,28.1,16.3,913,6,9.1,24.4,16.7,77
"1199","DC 6",11,2006,1194.2940674,8.7020006,22.1270008,15.4140005,3.4160001,20.9960003,11,100.9550018,5.3559999,16.1110001,10.7330008,0.68,8.7849998,1033,7.6,28.1,16.3,913,92,6,17,11.5,0
"1200","DC 6",12,2006,1194.2940674,8.7020006,22.1270008,15.4140005,3.4160001,20.9960003,12,169.5140076,2.8659999,13.3959999,8.1300001,1.147,8.7880001,1033,7.6,28.1,16.3,913,150,3.4,13.6,8.5,0
"1201","DC 6",1,2007,763.1880493,8.25,22.6900005,15.4690008,3.2890003,21.6140003,1,26.8810005,8.25,22.6900005,15.4690008,3.2890003,21.6140003,671,6.8,26.3,16.5,959,18,1.3,14.7,8,22
"1202","DC 6",2,2007,763.1880493,8.25,22.6900005,15.4690008,3.2890003,21.6140003,2,273.3059998,4.0359998,14.0909996,9.0620003,0.897,8.3179998,671,6.8,26.3,16.5,959,259,4.8,14.9,9.9,0
"1203","DC 6",3,2007,763.1880493,8.25,22.6900005,15.4690008,3.2890003,21.6140003,3,25.0569992,6.1350002,20.4810009,13.3080006,1.9,16.0349998,671,6.8,26.3,16.5,959,24,7.3,21.9,14.6,70
"1204","DC 6",4,2007,763.1880493,8.25,22.6900005,15.4690008,3.2890003,21.6140003,4,73.3259964,6.2750001,20.6229992,13.4480009,1.806,15.9460001,671,6.8,26.3,16.5,959,68,7.6,21.8,14.7,45
"1205","DC 6",5,2007,763.1880493,8.25,22.6900005,15.4690008,3.2890003,21.6140003,5,33.9109993,9.9359999,25.8619995,17.8980007,3.5280001,24.9629993,671,6.8,26.3,16.5,959,24,11.3,27.1,19.2,135
"1206","DC 6",6,2007,763.1880493,8.25,22.6900005,15.4690008,3.2890003,21.6140003,6,1.229,12.651,29.6720009,21.1610012,4.638,33.0369987,671,6.8,26.3,16.5,959,7,14,31.1,22.5,176
"1207","DC 6",7,2007,763.1880493,8.25,22.6900005,15.4690008,3.2890003,21.6140003,7,0.31,16.0279999,33.2420006,24.6340008,6.9419999,40.4410019,671,6.8,26.3,16.5,959,2,17.5,35,26.3,201
"1208","DC 6",8,2007,763.1880493,8.25,22.6900005,15.4690008,3.2890003,21.6140003,8,0,15.5970001,33.4379997,24.5170021,8.5299997,42.4000015,671,6.8,26.3,16.5,959,1,17,34.6,25.8,181
"1209","DC 6",9,2007,763.1880493,8.25,22.6900005,15.4690008,3.2890003,21.6140003,9,18.8390007,12.1009998,27.4200001,19.7600002,4.744,28.2630005,671,6.8,26.3,16.5,959,19,13,28.7,20.8,101
"1210","DC 6",10,2007,763.1880493,8.25,22.6900005,15.4690008,3.2890003,21.6140003,10,78.3040009,8.5679998,21.2849998,14.9260006,2.076,16.3220005,671,6.8,26.3,16.5,959,73,9.2,22.3,15.7,2
"1211","DC 6",11,2007,763.1880493,8.25,22.6900005,15.4690008,3.2890003,21.6140003,11,37.0670013,6.29,20.5330009,13.4110003,2.171,15.7790003,671,6.8,26.3,16.5,959,26,6.9,21.1,14,26
"1212","DC 6",12,2007,763.1880493,8.25,22.6900005,15.4690008,3.2890003,21.6140003,12,194.9589996,1.404,11.5050001,6.4540005,0.614,6.599,671,6.8,26.3,16.5,959,151,2,11.7,6.8,0
"1213","DC 6",1,2008,691.434021,8.4950008,22.8370018,15.6650009,4.1830001,23.1420002,1,231.3470001,8.4950008,22.8370018,15.6650009,4.1830001,23.1420002,708,6.5,26.7,16.7,1048,266,2.1,11,6.5,0
"1214","DC 6",2,2008,691.434021,8.4950008,22.8370018,15.6650009,4.1830001,23.1420002,2,142.6289978,2.7030001,14.1590004,8.4310007,1.054,9.6029997,708,6.5,26.7,16.7,1048,134,3.6,15.3,9.4,0
"1215","DC 6",3,2008,691.434021,8.4950008,22.8370018,15.6650009,4.1830001,23.1420002,3,34.743,4.4419999,18.0289993,11.2340002,1.689,13.8570004,708,6.5,26.7,16.7,1048,28,5.2,18.8,12,55
"1216","DC 6",4,2008,691.434021,8.4950008,22.8370018,15.6650009,4.1830001,23.1420002,4,6.2490001,4.6950002,20.2849998,12.4900007,2.576,18.316,708,6.5,26.7,16.7,1048,9,6,21,13.5,102
"1217","DC 6",5,2008,691.434021,8.4950008,22.8370018,15.6650009,4.1830001,23.1420002,5,7.546,9.9720001,25.1340008,17.5530014,4.1139998,24.2019997,708,6.5,26.7,16.7,1048,8,11.5,26.4,18.9,145
"1218","DC 6",6,2008,691.434021,8.4950008,22.8370018,15.6650009,4.1830001,23.1420002,6,0,13.1059999,30.4169998,21.7610016,6.4860001,35.0900002,708,6.5,26.7,16.7,1048,1,14.6,31.7,23.2,185
"1219","DC 6",7,2008,691.434021,8.4950008,22.8370018,15.6650009,4.1830001,23.1420002,7,0,16.5669994,33.8800011,25.2230015,7.8829999,41.9109993,708,6.5,26.7,16.7,1048,1,17.9,35.5,26.7,206
"1220","DC 6",8,2008,691.434021,8.4950008,22.8370018,15.6650009,4.1830001,23.1420002,8,0,16.9290009,34.3240013,25.6260014,9.7790003,43.9490013,708,6.5,26.7,16.7,1048,1,17.7,35.1,26.4,182
"1221","DC 6",9,2008,691.434021,8.4950008,22.8370018,15.6650009,4.1830001,23.1420002,9,0,14.0469999,31.7070007,22.8760014,9.0439997,39.1650009,708,6.5,26.7,16.7,1048,1,15.2,32.7,24,137
"1222","DC 6",10,2008,691.434021,8.4950008,22.8370018,15.6650009,4.1830001,23.1420002,10,42.8110008,10.0600004,25.6329994,17.8460007,5.2820001,25.8969994,708,6.5,26.7,16.7,1048,52,10.7,26.1,18.4,36
"1223","DC 6",11,2008,691.434021,8.4950008,22.8370018,15.6650009,4.1830001,23.1420002,11,98.9110031,7.2550001,19.2509995,13.2520008,1.4630001,12.8330002,708,6.5,26.7,16.7,1048,81,7.8,20,13.9,0
"1224","DC 6",12,2008,691.434021,8.4950008,22.8370018,15.6650009,4.1830001,23.1420002,12,127.1989975,0.668,11.1520004,5.9090004,0.364,6.9190001,708,6.5,26.7,16.7,1048,126,1.8,12.2,7,0
"1225","DC 6",1,2009,807.4890137,8.9790001,22.2790012,15.6280012,4.0670004,21.6980019,1,62.5009995,8.9790001,22.2790012,15.6280012,4.0670004,21.6980019,880,7.2,26.7,16.5,807,79,4.1,16.5,10.3,0
"1226","DC 6",2,2009,807.4890137,8.9790001,22.2790012,15.6280012,4.0670004,21.6980019,2,185.0570068,3.734,13.5389996,8.6350002,1.4119999,9.3310003,880,7.2,26.7,16.5,807,247,4,14,9,0
"1227","DC 6",3,2009,807.4890137,8.9790001,22.2790012,15.6280012,4.0670004,21.6980019,3,135.5220032,4.2090001,16.382,10.2950001,1.999,12.5749998,880,7.2,26.7,16.5,807,139,4.7,17.1,10.9,0
"1228","DC 6",4,2009,807.4890137,8.9790001,22.2790012,15.6280012,4.0670004,21.6980019,4,28.4449997,5.7989998,19.6900005,12.7440004,3.2739999,17.6870003,880,7.2,26.7,16.5,807,39,6.7,20.8,13.8,70
"1229","DC 6",5,2009,807.4890137,8.9790001,22.2790012,15.6280012,4.0670004,21.6980019,5,114.9039993,11.7449999,25.8929996,18.8180008,3.8139999,24.0330009,880,7.2,26.7,16.5,807,84,12.9,27.4,20.1,71
"1230","DC 6",6,2009,807.4890137,8.9790001,22.2790012,15.6280012,4.0670004,21.6980019,6,18.3689995,12.7950001,27.1889992,19.9920006,3.6700001,26.0599995,880,7.2,26.7,16.5,807,16,13.7,29,21.4,152
"1231","DC 6",7,2009,807.4890137,8.9790001,22.2790012,15.6280012,4.0670004,21.6980019,7,0,17.2169991,34.1279984,25.6710014,9.3940001,43.8289986,880,7.2,26.7,16.5,807,1,17.8,35.6,26.7,207
"1232","DC 6",8,2009,807.4890137,8.9790001,22.2790012,15.6280012,4.0670004,21.6980019,8,0,16.3969994,32.5159988,24.4550018,8.3369999,39.8199997,880,7.2,26.7,16.5,807,1,17,33.8,25.4,175
"1233","DC 6",9,2009,807.4890137,8.9790001,22.2790012,15.6280012,4.0670004,21.6980019,9,4.5640001,15.7880001,31.6599998,23.7240009,8.9809999,38.5699997,880,7.2,26.7,16.5,807,8,16.2,33.2,24.7,130
"1234","DC 6",10,2009,807.4890137,8.9790001,22.2790012,15.6280012,4.0670004,21.6980019,10,70.435997,8.9510002,21.3929996,15.1710005,3.112,16.618,880,7.2,26.7,16.5,807,94,9.3,22.7,16,0
"1235","DC 6",11,2009,807.4890137,8.9790001,22.2790012,15.6280012,4.0670004,21.6980019,11,49.4580002,5.4710002,17.3880005,11.4290009,1.513,12.1929998,880,7.2,26.7,16.5,807,46,5.7,18.8,12.3,2
"1236","DC 6",12,2009,807.4890137,8.9790001,22.2790012,15.6280012,4.0670004,21.6980019,12,138.2339935,1.952,11.6619997,6.8060002,0.764,6.5349998,880,7.2,26.7,16.5,807,127,2.4,12,7.2,0
"1237","DC 6",1,2010,1397.2640381,8.8980007,21.0620003,14.979001,2.9430001,18.4630013,1,234.9049988,8.8980007,21.0620003,14.979001,2.9430001,18.4630013,1289,8.5,26.4,15.7,733,223,4.8,13,8.9,0
"1238","DC 6",2,2010,1397.2640381,8.8980007,21.0620003,14.979001,2.9430001,18.4630013,2,115.560997,4.9580002,13.9770002,9.467,0.613,6.9130001,1289,8.5,26.4,15.7,733,127,5.3,14.7,10,0
"1239","DC 6",3,2010,1397.2640381,8.8980007,21.0620003,14.979001,2.9430001,18.4630013,3,96.1070023,4.4970002,16.2199993,10.3580008,1.359,11.2779999,1289,8.5,26.4,15.7,733,99,5,17.2,11.1,0
"1240","DC 6",4,2010,1397.2640381,8.8980007,21.0620003,14.979001,2.9430001,18.4630013,4,180.7160034,5.0310001,15.6479998,10.3390007,0.954,10.0030003,1289,8.5,26.4,15.7,733,171,5.6,16.7,11.2,0
"1241","DC 6",5,2010,1397.2640381,8.8980007,21.0620003,14.979001,2.9430001,18.4630013,5,75.9889984,6.8730001,19.7000008,13.2860003,1.8150001,14.9259996,1289,8.5,26.4,15.7,733,59,7.8,21,14.4,68
"1242","DC 6",6,2010,1397.2640381,8.8980007,21.0620003,14.979001,2.9430001,18.4630013,6,1.347,13.3579998,27.7320004,20.5440006,3.4349999,25.8710003,1289,8.5,26.4,15.7,733,4,14.2,29.1,21.7,163
"1243","DC 6",7,2010,1397.2640381,8.8980007,21.0620003,14.979001,2.9430001,18.4630013,7,0,16.7579994,33.1640015,24.960001,6.3140001,38.2089996,1289,8.5,26.4,15.7,733,1,17.7,35,26.4,202
"1244","DC 6",8,2010,1397.2640381,8.8980007,21.0620003,14.979001,2.9430001,18.4630013,8,1.123,15.1859999,31.5450001,23.3650017,7.3660002,37.4659996,1289,8.5,26.4,15.7,733,1,15.6,32.6,24.1,171
"1245","DC 6",9,2010,1397.2640381,8.8980007,21.0620003,14.979001,2.9430001,18.4630013,9,0,14.099,30.0300007,22.0640011,7.1880002,34.1170006,1289,8.5,26.4,15.7,733,2,14.5,31.1,22.8,129
"1246","DC 6",10,2010,1397.2640381,8.8980007,21.0620003,14.979001,2.9430001,18.4630013,10,168.3379974,11.6289997,23.5289993,17.578001,3.875,20.4249992,1289,8.5,26.4,15.7,733,131,11.4,24.1,17.7,0
"1247","DC 6",11,2010,1397.2640381,8.8980007,21.0620003,14.979001,2.9430001,18.4630013,11,170.878006,5.0650001,16.2029991,10.6330004,1.444,11.217,1289,8.5,26.4,15.7,733,152,5.2,17,11.1,0
"1248","DC 6",12,2010,1397.2640381,8.8980007,21.0620003,14.979001,2.9430001,18.4630013,12,352.3009949,4.9809999,12.7559996,8.8670006,0.374,5.2329998,1289,8.5,26.4,15.7,733,318,4.8,12.3,8.5,0
"1249","DC 6",1,2011,904.2480469,8.3940001,21.0340004,14.7130003,2.9510002,18.6740017,1,61.1430016,8.3940001,21.0340004,14.7130003,2.9510002,18.6740017,1228,8.3,25.1,15.5,625,99,3.5,14.5,9,0
"1250","DC 6",2,2011,904.2480469,8.3940001,21.0340004,14.7130003,2.9510002,18.6740017,2,171.4880066,2.3729999,13.5509996,7.9610004,1.88,10.5970001,1228,8.3,25.1,15.5,625,227,2.7,14,8.3,0
"1251","DC 6",3,2011,904.2480469,8.3940001,21.0340004,14.7130003,2.9510002,18.6740017,3,383.1629944,4.454,12.835,8.6440001,0.665,7.1609998,1228,8.3,25.1,15.5,625,378,5.1,14.1,9.6,0
"1252","DC 6",4,2011,904.2480469,8.3940001,21.0340004,14.7130003,2.9510002,18.6740017,4,37.9710007,5.5749998,17.8120003,11.6930008,1.4170001,12.3629999,1228,8.3,25.1,15.5,625,74,6.5,18.5,12.5,22
"1253","DC 6",5,2011,904.2480469,8.3940001,21.0340004,14.7130003,2.9510002,18.6740017,5,70.302002,7.2249999,20.0340004,13.6290007,2.1949999,15.9960003,1228,8.3,25.1,15.5,625,94,8.1,21.2,14.7,33
"1254","DC 6",6,2011,904.2480469,8.3940001,21.0340004,14.7130003,2.9510002,18.6740017,6,52.368,12.0240002,25.4599991,18.7410011,2.9960001,22.3220005,1228,8.3,25.1,15.5,625,71,12.8,26.9,19.9,84
"1255","DC 6",7,2011,904.2480469,8.3940001,21.0340004,14.7130003,2.9510002,18.6740017,7,0,15.7849998,31.007,23.3950005,4.9250002,32.4700012,1228,8.3,25.1,15.5,625,0,16.9,32.8,24.8,188
"1256","DC 6",8,2011,904.2480469,8.3940001,21.0340004,14.7130003,2.9510002,18.6740017,8,0,16.257,32.6590004,24.4570007,6.8629999,38.0950012,1228,8.3,25.1,15.5,625,1,16.5,33.8,25.1,176
"1257","DC 6",9,2011,904.2480469,8.3940001,21.0340004,14.7130003,2.9510002,18.6740017,9,3.688,16.3129997,31.9920006,24.1520004,7.5120001,37.1259995,1228,8.3,25.1,15.5,625,14,16.5,33.1,24.8,122
"1258","DC 6",10,2011,904.2480469,8.3940001,21.0340004,14.7130003,2.9510002,18.6740017,10,78.7699966,10.6590004,23.1329994,16.8950005,2.5,17.5419998,1228,8.3,25.1,15.5,625,145,10.6,24.4,17.5,0
"1259","DC 6",11,2011,904.2480469,8.3940001,21.0340004,14.7130003,2.9510002,18.6740017,11,41.6380005,5.0279999,15.7049999,10.3660002,1.216,9.9770002,1228,8.3,25.1,15.5,625,98,4.8,16.4,10.6,0
"1260","DC 6",12,2011,904.2480469,8.3940001,21.0340004,14.7130003,2.9510002,18.6740017,12,3.717,2.276,14.8999996,8.5870008,2.3399999,12.1330004,1228,8.3,25.1,15.5,625,25,3.1,15.5,9.3,12
"1261","DC 6",1,2012,1426.2229004,9.3130007,22.4030018,15.8570004,3.9250002,21.5180016,1,153.3739929,9.3130007,22.4030018,15.8570004,3.9250002,21.5180016,1482,7.3,27,16.7,821,194,3.7,16,9.8,0
